Time,Start Time,End Time,Weather
2017-08-30,2017-08-30 11:00:00,2017-08-30 20:30:00,02High temperature
2017-08-31,2017-08-31 10:15:00,2017-08-31 19:00:00,02High temperature
2017-09-01,2017-09-01 11:00:00,2017-09-01 17:00:00,02High temperature
2017-09-02,2017-09-02 13:00:00,2017-09-02 13:00:00,02High temperature
2017-09-03,2017-09-03 12:00:00,2017-09-03 16:30:00,02High temperature
2017-09-06,2017-09-06 13:00:00,2017-09-06 13:00:00,02High temperature
2017-09-07,2017-09-07 10:00:00,2017-09-07 13:30:00,02High temperature
2017-09-09,2017-09-09 09:30:00,2017-09-09 10:00:00,02High temperature
2017-09-10,2017-09-10 11:00:00,2017-09-10 17:30:00,02High temperature
2017-09-11,2017-09-11 15:00:00,2017-09-11 20:00:00,02High temperature
2017-09-12,2017-09-12 08:30:00,2017-09-12 21:15:00,02High temperature
2017-09-13,2017-09-13 13:00:00,2017-09-13 21:00:00,02High temperature
2017-09-14,2017-09-14 10:15:00,2017-09-14 13:00:00,02High temperature
2017-09-16,2017-09-16 09:15:00,2017-09-16 20:00:00,02High temperature
2017-09-17,2017-09-17 09:00:00,2017-09-17 23:00:00,02High temperature
2017-09-18,2017-09-18 02:00:00,2017-09-18 15:30:00,02High temperature
2017-09-19,2017-09-19 11:15:00,2017-09-19 14:30:00,02High temperature
2017-09-20,2017-09-20 12:00:00,2017-09-20 15:00:00,02High temperature
2017-09-21,2017-09-21 11:00:00,2017-09-21 16:00:00,02High temperature
2017-09-22,2017-09-22 15:30:00,2017-09-22 15:30:00,02High temperature
2017-09-23,2017-09-23 13:00:00,2017-09-23 15:00:00,02High temperature
2017-09-24,2017-09-24 02:00:00,2017-09-24 02:00:00,02High temperature
2017-09-25,2017-09-25 10:30:00,2017-09-25 16:00:00,02High temperature
2017-09-26,2017-09-26 13:15:00,2017-09-26 17:00:00,02High temperature
2017-09-27,2017-09-27 10:30:00,2017-09-27 17:00:00,02High temperature
2017-09-29,2017-09-29 10:30:00,2017-09-29 10:30:00,02High temperature
2017-09-30,2017-09-30 15:30:00,2017-09-30 15:30:00,02High temperature
