,Heat Load,NaturalGasBoiler,Total Heat Output
2023-01-03 09:00:00,5588.2026378634455,5588.2026378634455,5588.2026378634455
2023-01-03 09:15:00,5473.23458684792,5473.23458684792,5473.23458684792
2023-01-03 09:30:00,5314.91784528679,5314.91784528679,5314.91784528679
2023-01-03 09:45:00,5111.367591853444,5111.367591853444,5111.367591853444
2023-01-03 10:00:00,4728.769212241108,4728.769212241108,4728.769212241108
2023-01-03 10:15:00,4276.435743493828,4276.435743493828,4276.435743493828
2023-01-03 10:30:00,3818.44836075834,3818.44836075834,3818.44836075834
2023-01-03 10:45:00,3345.382957401568,3345.382957401568,3345.382957401568
2023-01-03 11:00:00,2862.893997403356,2862.893997403356,2862.893997403356
2023-01-03 11:15:00,2406.7914359944825,2406.7914359944825,2406.7914359944825
2023-01-03 11:30:00,2029.8464203787235,2029.8464203787235,2029.8464203787235
2023-01-03 11:45:00,1667.9794253842474,1667.9794253842474,1667.9794253842474
2023-01-03 12:00:00,1332.4988289791104,1332.4988289791104,1332.4988289791104
2023-01-03 12:15:00,1047.9056584344012,1047.9056584344012,1047.9056584344012
2023-01-03 12:30:00,816.0847350767349,816.0847350767349,816.0847350767349
2023-01-03 12:45:00,748.2344672684084,748.2344672684084,748.2344672684084
2023-01-03 13:00:00,746.3501959334268,746.3501959334268,746.3501959334268
2023-01-03 13:15:00,740.695731953583,740.695731953583,740.695731953583
2023-01-03 13:30:00,738.8114606186015,738.8114606186015,738.8114606186015
2023-01-03 13:45:00,735.0423679570056,735.0423679570056,735.0423679570056
2023-01-03 14:00:00,729.387903977162,729.387903977162,729.387903977162
2023-01-03 14:15:00,719.964347335722,719.964347335722,719.964347335722
2023-01-03 14:30:00,704.8868767060713,704.8868767060713,704.8868767060713
2023-01-03 14:45:00,699.2324127262276,699.2324127262276,699.2324127262276
2023-01-03 15:00:00,697.3475913996131,697.3475913996131,697.3475913996131
2023-01-03 15:15:00,684.1549420965771,684.1549420965771,684.1549420965771
2023-01-03 15:30:00,674.7313854551372,674.7313854551372,674.7313854551372
2023-01-03 15:45:00,663.4230074870828,663.4230074870828,663.4230074870828
2023-01-03 16:00:00,667.192650140312,667.192650140312,667.192650140312
2023-01-03 16:15:00,678.5004781167333,678.5004781167333,678.5004781167333
